iter	Passed	Remaining
0	1	165
1	2	146
2	4	134
3	5	120
4	6	122
5	7	117
6	8	115
7	9	113
8	11	111
9	12	109
10	13	108
11	15	110
12	16	108
13	17	107
14	18	106
15	19	104
16	21	102
17	22	100
18	23	98
19	24	96
20	25	94
21	26	93
22	27	91
23	28	89
24	29	87
25	30	85
26	31	84
27	32	82
28	33	81
29	34	80
30	35	78
31	36	77
32	37	76
33	38	75
34	39	73
35	40	72
36	41	70
37	42	69
38	43	68
39	44	67
40	45	65
41	46	63
42	47	62
43	48	61
44	49	61
45	51	59
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	52
52	58	51
53	59	50
54	59	48
55	60	47
56	61	46
57	62	45
58	64	44
59	65	43
60	66	42
61	67	41
62	67	39
63	69	38
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	28
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	83	22
79	84	21
80	85	20
81	86	19
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	103	0
